10000 30000
335 9433 496
8567 6635 344
8672 8179 231
7446 5628 496
5840 8108 262
5897 3409 286
2863 2502 241
2202 7871 527
734 3638 625
3887 3017 165
7523 1144 225
8849 6985 71
4652 7442 259
7993 2135 124
7118 3798 692
9827 5989 233
9203 4247 143
3340 5390 189
1398 5802 435
6822 5813 616
8635 1139 964
356 5195 573
7167 9374 991
6314 3818 29
2658 7243 425
2957 2683 546
3692 6573 869
6067 7558 227
9642 8947 549
3412 3755 162
3064 9631 958
9847 1102 179
4187 3505 280
6049 9380 465
2793 2669 401
4156 4336 103
5358 7843 611
1564 1431 702
8483 4480 207
6565 3337 938
9244 5457 221
6239 6211 724
1097 3652 55
7237 1829 971
4634 2525 453
4389 3757 371
6862 5048 796
7824 819 682
7576 1885 806
2031 5970 950
7005 4870 968
1334 9964 304
8023 383 256
6626 6865 597
842 673 189
9755 7119 812
4981 30 285
1276 747 879
9653 8988 965
6333 4490 868
2118 7012 235
4773 7010 304
4745 5935 411
9163 3906 312
4540 2347 848
7096 5159 741
8873 1369 316
4250 9810 837
2157 2393 142
5830 3728 904
9237 8113 279
504 9708 406
1726 114 592
1806 274 805
4500 1476 905
1882 5412 943
5746 533 9
632 7815 995
7526 452 916
9025 7288 693
7900 2468 93
167 1863 335
840 3472 811
9979 2994 344
9997 462 619
5780 1386 244
90 1012 467
590 2421 875
5446 3707 821
7327 8684 815
3281 1409 813
4228 8642 346
5252 585 367
6131 3433 364
115 5962 220
8787 4793 435
1837 7696 292
7921 441 927
7060 4629 357
8773 241 64
6102 4040 229
936 7569 215
9753 3623 377
4382 4520 52
3632 5041 645
7396 3469 171
2663 9891 324
2808 9530 169
284 1299 108
7655 1846 584
9047 7685 267
4612 3983 542
7922 7890 487
2955 4748 322
902 6916 206
2440 3853 182
3795 4347 747
9413 1683 858
8205 1889 152
3061 548 843
1824 2495 19
3854 478 987
3793 1644 992
7592 2596 543
2127 7379 871
2903 6299 112
5499 6275 748
2577 4206 641
7726 8780 255
9217 3054 352
5178 1336 749
7027 2658 755
6154 5240 515
1049 5717 255
7081 3452 600
5419 9742 885
9074 2153 782
5228 7393 985
5484 8542 625
8085 3192 726
1538 8323 876
9130 2279 998
9934 9729 549
9692 6650 87
8432 560 20
6498 5908 161
2786 7310 664
8104 141 298
4454 1954 484
5974 7399 514
6326 602 364
5658 8529 146
5938 4500 762
6276 6013 744
6841 5408 671
4530 7801 212
4298 9036 995
1040 6818 489
2242 7577 426
6540 6613 878
4392 2339 674
631 9547 933
573 2543 637
341 4379 649
8730 808 943
7347 6513 421
7676 9851 321
5836 8952 558
915 5228 90
1634 1423 473
6750 2083 310
2067 5808 484
7304 2488 680
4713 1827 237
9749 1650 520
9059 2925 185
4486 8802 109
1639 8957 867
112 3215 754
3752 3129 457
4887 2430 248
5695 6222 201
4598 1025 652
5591 4579 489
3071 8031 362
1580 2461 599
3878 1862 117
1032 6794 340
205 4766 75
8137 7228 114
7095 9697 100
7509 6568 894
6285 2759 300
6268 6142 73
5630 1388 363
8338 6846 741
459 4566 667
2559 8454 454
16 2290 770
3633 5707 382
8338 8411 306
8545 7749 356
1332 1952 93
6487 5153 953
4333 4279 179
8498 3777 259
1815 249 388
6267 617 934
2388 2460 884
3720 2156 20
2512 2644 784
6514 8620 280
3484 8789 149
3196 6380 368
4574 8149 841
2206 6867 145
3381 6696 316
6882 2158 53
9043 8784 575
6797 3805 848
9192 276 847
2557 8529 186
6500 1734 602
777 3033 878
7368 351 71
5157 3849 323
322 1230 187
4950 683 615
4894 7383 887
1659 7918 814
8296 4651 678
5353 8307 628
7486 6656 348
2741 1123 536
6869 934 147
8788 2552 846
1822 6565 181
7557 3292 170
4265 5181 797
9619 9188 389
7870 9399 669
615 5566 685
4213 2178 187
4265 1246 382
4042 9892 434
9793 5573 656
5969 9695 34
1573 1520 413
2773 9915 171
1135 3991 274
5684 1780 61
8370 585 454
8457 9010 296
8926 1425 230
3415 2694 974
3830 5948 15
5791 8026 891
5233 6370 226
200 9195 600
3532 253 91
1925 8406 323
4591 8074 863
7952 1517 658
9305 911 205
1072 679 570
4817 6335 427
2577 2199 760
9216 3548 649
5881 4601 809
745 3886 714
1200 8534 639
8426 9561 772
9673 9809 761
6036 1847 476
4750 7948 818
4397 9162 500
9947 8072 926
5983 9919 773
9662 1818 334
688 2789 541
3404 7299 178
3961 1444 330
8921 7995 356
4795 4874 882
7124 8225 451
1500 2593 89
182 5269 92
6711 1948 624
7054 1503 76
3918 1251 320
3547 8917 460
151 3265 345
7923 6940 545
134 5059 520
9738 5299 907
1769 8886 919
7291 8659 642
9980 928 929
9388 5771 227
6510 2620 391
6422 8411 956
6496 9787 549
8603 7456 502
5844 1470 14
1507 7644 66
7628 6444 166
456 9709 353
6768 6185 886
7358 5931 620
2543 678 898
5014 5430 31
7593 3127 368
4104 925 848
6647 7955 439
7224 468 634
3193 8899 990
8752 2059 69
24 7852 496
957 4155 800
6290 3050 561
1394 5109 953
3187 8809 893
4706 397 663
4909 1444 349
1231 5673 224
8834 7582 340
3776 4131 827
8871 5393 211
7115 7231 857
2788 8382 89
9839 5567 649
3709 2944 673
7996 1415 720
6422 5801 741
6729 1364 242
8929 1318 931
4945 9532 378
9273 9215 889
6659 9773 42
5202 4092 946
9667 4781 691
4054 4471 908
7735 8300 950
9854 3723 593
6435 9656 897
6192 5247 695
3789 36 306
6857 5468 123
1818 5964 107
356 1477 64
906 9676 870
4746 9962 494
5098 2595 676
5626 68 494
3268 1615 200
5639 1372 53
2822 9438 886
1416 171 317
8969 8041 511
476 9591 885
6202 1870 597
7449 6614 525
7509 2151 352
884 2915 828
2902 9882 191
4884 7110 36
4990 4128 762
9810 4216 149
207 6554 759
2336 5574 440
800 7272 565
646 4492 66
6097 9383 792
8163 9019 360
9483 8537 120
1443 3592 42
4704 6852 641
1856 4124 132
1116 6249 328
6005 6741 698
9554 1545 655
545 3234 30
587 7212 225
4986 8478 208
1467 8094 919
1603 5163 960
8149 3046 911
3536 7612 939
7575 6145 786
8705 565 21
8042 7375 323
3314 8070 278
5020 2362 616
5132 2070 713
8997 8088 139
4935 914 325
393 1881 647
5068 5009 522
6984 4007 413
6148 592 786
2473 1683 893
2013 9394 359
9354 2758 362
7243 6452 24
896 6531 41
668 5573 407
8370 4688 647
1763 7906 223
768 9626 413
6942 4714 606
8755 1096 889
7022 8273 853
1050 7923 503
8087 1630 206
5109 9903 291
4995 2149 50
3186 2627 526
5943 7055 651
9372 8105 884
9045 240 769
336 1702 399
9007 6716 459
7033 4047 441
8700 1911 889
9373 2453 389
2158 7698 322
1786 6283 659
8141 2167 542
1400 7449 192
6698 6859 866
3725 6833 666
744 9978 771
7171 4402 749
2844 4282 621
754 5629 35
2462 1034 479
7231 723 135
5727 8383 357
2429 4306 585
6463 4073 77
7628 9884 186
4666 1331 219
6516 3290 401
8471 1365 297
4934 1791 25
8472 9419 834
3488 1601 990
4289 5518 135
4046 5026 10
2940 2238 446
191 7555 428
9774 9307 347
9681 9196 532
7037 5091 307
8219 3592 947
1751 7003 807
6684 3514 909
7866 673 568
5251 3258 991
6928 4494 975
8084 5289 102
8928 6140 34
7566 5626 655
3954 6778 855
3762 5998 480
8510 2298 68
1173 7517 355
1543 7554 890
9288 402 985
8846 9157 384
8399 4500 363
1777 3048 632
3320 6954 989
5632 7122 983
1601 9762 566
8637 9235 46
5759 9371 186
6198 6886 711
5127 4001 960
4948 1970 895
7533 6429 898
1 8224 158
1987 5249 126
2094 2197 438
6082 9938 343
7241 8892 593
2521 2582 348
9657 4566 705
2087 7361 511
3410 9292 792
8580 9124 501
5956 4967 464
6166 2976 468
6843 549 932
2294 3870 307
6349 3335 120
6689 3348 384
8508 9302 902
7798 7829 677
4529 863 870
1848 1869 846
5944 8572 545
4250 2036 151
1730 9806 834
4025 9584 445
8249 3408 770
4931 6005 484
4871 2970 589
7430 2683 437
8 9974 821
4249 9733 422
6661 5362 118
9049 3506 378
4616 2913 288
6298 7381 783
9144 4535 146
6318 643 825
2142 2512 427
7068 4893 418
3235 5325 11
752 3186 794
6347 4076 233
7870 3921 517
5963 2239 933
5495 471 134
4004 3062 404
6023 777 367
3057 3531 81
618 195 4
8777 5286 845
8641 7173 482
9717 5822 403
1851 2632 152
7625 473 685
6228 1517 310
2767 9097 683
7041 1690 171
3619 8924 666
5842 2538 1
8341 9855 925
6636 2044 813
5096 8591 503
9077 6707 611
8781 5642 564
7009 6452 395
2205 9716 170
8245 4307 769
764 1640 995
5389 9735 605
2398 2540 37
7075 4231 724
8417 3894 81
3431 786 886
5721 2161 175
218 6067 930
1049 6108 306
3853 2832 927
4343 6710 429
7 1896 979
1237 2364 856
4664 1469 132
9066 7002 643
4893 6345 62
5452 8802 189
1353 6071 123
3316 4809 174
8840 9275 857
5204 4075 16
3718 1080 14
7673 8786 231
6780 3788 278
2013 9635 146
716 3902 731
2800 2946 502
8730 90 435
8438 9131 762
8946 1518 602
5192 1021 236
4794 6320 90
3986 4900 487
6606 5296 83
4783 4587 496
5541 6001 253
5229 5412 248
3776 8286 473
3508 4150 72
3510 2692 768
7202 6388 737
8048 4715 217
2191 7573 917
2473 6767 979
2373 511 490
4911 9799 652
7294 7823 717
5439 657 366
4501 7783 607
7367 4071 725
6171 5582 156
4414 8343 382
8664 3179 34
734 4403 751
6547 2842 318
8770 3581 358
8804 8597 510
2984 9373 41
4624 8947 956
3618 3951 84
9363 5171 18
9912 2647 964
8180 598 508
2175 7702 218
2551 8358 544
108 7130 647
6877 3261 366
6199 5763 789
6083 3545 846
1848 3631 774
4417 7059 929
5167 5695 472
2113 1079 270
656 2509 172
8969 8583 783
5173 6406 435
1624 9284 306
913 2408 663
1003 5772 624
8708 6324 847
9313 3980 573
5408 1291 788
1504 8393 465
9651 5648 369
2461 277 731
1451 1343 250
3342 2449 3
8525 8389 263
9603 1171 335
1006 5462 761
186 1345 196
4447 143 525
5474 5372 983
3977 8793 956
2553 6713 335
720 1589 853
4523 8557 445
2994 275 121
4156 1358 431
8452 1581 813
5044 4521 9
2689 3304 237
1297 7212 676
955 8538 878
1202 2886 770
1990 4202 743
4073 6393 676
4371 1207 769
7181 4575 516
2541 8534 120
9709 4663 956
6157 3522 225
3682 7233 173
6159 1629 572
9029 7915 281
3211 5620 462
655 7877 146
5130 7602 828
8479 1492 651
5647 2236 687
545 141 680
247 4199 322
1072 4822 212
2883 7821 916
4974 1140 466
306 5652 308
2571 3682 973
2203 5661 452
8480 4650 987
3801 7657 135
4992 4310 12
8003 340 606
4325 8298 464
3780 1580 4
5896 294 684
845 2468 168
1033 5881 732
2896 7541 884
9024 5587 28
6368 5690 791
1754 2746 365
4509 8170 889
7157 8440 786
1418 1862 109
6219 6302 783
2775 2153 862
9079 4427 989
1478 8210 243
125 3854 683
4931 256 278
581 7546 526
7671 5299 305
2312 2822 508
1830 8296 590
5339 8022 217
1531 5580 990
5706 4385 584
5791 1009 423
1669 8312 88
2969 3054 240
1551 3138 900
5013 4610 308
6006 7983 948
2570 1856 585
2936 4728 150
7502 5083 401
9660 581 766
8134 2054 291
3271 6995 247
4680 9079 723
5889 6833 998
4564 7818 23
6897 9580 244
1314 8933 594
8917 1174 406
5830 6773 198
5927 3689 636
3745 5578 200
5416 7273 510
2600 4563 34
8305 9597 305
1960 2280 480
2528 6513 151
7956 3770 465
6376 4833 278
8965 9541 669
8320 2824 481
6879 8451 399
9920 2638 947
3549 4846 354
7495 7831 208
6717 4525 691
1521 6472 922
4048 1499 178
352 2565 35
5354 3190 269
4601 319 259
4168 322 514
5335 3756 244
6771 1544 595
5155 6999 338
2861 7387 785
9522 6666 589
4405 3499 262
2503 8706 658
334 9348 908
4594 9021 371
2840 8292 919
2276 7797 510
8734 8000 652
2124 2606 286
5118 1151 145
2013 6027 410
9521 6742 303
862 4801 173
3917 4056 257
8507 5408 448
2457 7943 435
898 7573 755
794 2447 760
521 2258 940
3877 2367 919
4561 2513 289
2475 4694 191
4755 942 928
9085 5134 15
8916 5405 53
4402 1645 787
7839 5964 455
5008 5891 740
7520 1678 841
8512 9822 508
992 6004 269
7683 3703 513
3525 1501 547
1202 5081 816
5144 3440 116
8669 4941 663
3817 221 385
6925 412 44
1764 1707 474
1765 1917 790
3948 1006 120
4690 8757 65
4556 7472 517
3011 3891 562
6491 3946 972
1886 5214 127
9872 8307 649
4590 8286 836
9562 7522 180
2397 424 19
5368 4426 240
4407 1571 119
2777 3133 397
5150 7653 386
228 1013 624
4550 9345 278
3997 2921 607
1111 5423 575
7450 2901 674
6204 4686 979
5866 772 765
9308 1575 337
4145 9342 419
6114 8953 61
6144 2729 106
3411 469 501
9446 1007 560
1467 3919 567
4175 3056 420
9153 240 172
6897 4622 993
4740 8996 281
2095 8577 408
9956 3709 335
9161 3801 525
3355 9068 160
5676 9851 141
5230 450 416
2783 1579 905
9542 1421 21
7649 1182 724
6919 1664 229
1596 939 334
3441 2667 395
8517 338 38
2108 6463 175
464 1954 205
8361 9340 693
7356 2159 281
6589 602 554
9621 8909 30
8487 9152 960
9147 8759 532
3407 70 24
2198 37 502
9470 5435 895
4787 364 498
8516 8931 858
3131 8280 819
4187 2418 773
159 804 519
4372 4336 751
1513 4428 922
8320 6582 476
8631 1834 690
6840 5411 95
5416 3045 995
1320 128 402
3739 4960 97
142 6551 28
4361 5448 674
1567 5130 454
6703 343 740
8945 4729 257
7604 4017 346
3730 2863 669
9900 501 977
3391 4196 862
1073 7516 473
6199 7065 621
4684 9964 358
2742 9322 462
4606 3221 175
6133 2566 25
2168 9461 467
7257 9359 437
8092 6763 99
9583 6698 747
8856 693 324
915 6034 447
6910 3510 613
9355 2428 215
2348 7865 137
8738 9210 233
3738 7036 223
7221 7745 495
4162 3130 755
5257 3150 449
1205 7960 858
8380 4924 580
5303 9260 939
2819 6132 127
882 6579 606
4735 8024 2
5344 8235 842
7115 3459 77
9268 6501 23
9327 7772 460
8860 8588 330
1595 7366 911
8778 9449 914
7287 8989 420
9326 9486 747
1098 421 849
6361 4978 239
3444 3387 564
9814 26 723
5219 2816 429
6317 3237 809
2580 3968 909
2077 188 173
6681 1513 505
2245 5670 486
1647 8405 128
472 3830 175
6362 4710 457
6250 5544 619
218 6268 591
6576 2232 546
2480 6715 397
1155 4167 962
5898 5925 859
3268 238 38
4579 8712 225
864 2476 415
4328 60 988
5153 8532 227
8158 5688 677
5627 5214 693
3788 794 822
6265 7724 688
8005 9939 883
5484 2589 250
4544 930 157
5338 8790 491
5040 7359 943
8231 1832 361
1764 6216 933
7603 1940 273
4612 734 965
5810 883 148
6085 8375 863
3242 9751 139
6570 7957 663
1373 2351 102
5985 9437 67
4289 9275 436
1451 183 752
3833 4921 441
6749 14 906
2899 9901 303
1355 7072 692
2782 170 661
1618 9315 541
5877 687 870
4356 6250 975
7860 8031 772
7175 1644 391
3751 6519 743
2984 6440 616
775 3794 128
9328 9938 439
4332 2953 151
5868 483 414
4344 3140 278
6473 5518 88
4514 8540 780
6735 4052 232
4692 6634 565
5748 5296 808
4431 8497 262
4459 8897 323
7324 5595 765
5834 9634 652
8325 3075 248
8306 1097 95
4048 7996 154
2775 7804 587
9535 6245 342
3803 1298 93
7104 8410 692
8294 2140 159
87 3558 935
7093 1128 778
8872 1670 425
3518 3810 458
7724 7224 453
38 6505 838
4635 5927 230
7898 5461 153
6078 8416 736
3217 2109 583
550 9346 341
7259 1213 245
8840 6610 308
2692 4647 630
1884 5188 385
8574 8233 143
3209 1984 345
7975 7582 722
5821 4038 584
4082 5070 801
9710 2654 156
3278 8091 466
5650 7453 804
4936 1422 532
7855 4568 527
2147 1730 360
7235 4237 612
7506 9209 114
1624 5089 939
3382 7587 948
5145 7415 511
596 838 108
2490 3383 333
4499 4427 77
9187 8503 657
7365 906 64
5881 2278 944
1833 4650 137
6253 400 491
6669 246 639
7928 3736 501
1819 4394 339
2456 5833 758
481 2851 569
9199 2862 784
3330 557 957
641 2796 439
2396 1018 631
8416 3067 510
3427 9922 267
1346 2947 231
5386 2256 902
5082 8936 633
809 1089 617
2549 2600 300
2555 5056 659
8610 8126 379
3412 4365 349
1408 1918 734
3039 8757 487
7543 32 345
9759 1043 30
4537 3610 449
4524 3897 537
2371 8780 410
7009 5630 908
7235 8222 251
7536 4555 482
5742 4827 682
408 6012 660
9066 5535 559
7998 9375 555
7745 7207 590
1957 1941 441
1157 9710 46
2449 1059 669
4684 8088 458
9606 5054 887
1460 4697 653
3630 6525 500
5592 907 114
3753 6195 218
3502 2372 987
761 8793 832
3001 4061 924
6492 9278 32
2619 5299 720
1212 4320 467
9164 780 656
351 2131 222
3109 8446 616
9424 1114 386
8687 6956 907
9760 6153 873
8122 4536 316
3811 3303 430
6134 9190 521
8419 6993 883
4103 637 43
3050 827 797
476 1255 288
2143 6050 598
8586 6358 552
8397 4249 492
6280 9020 880
9126 3609 570
6523 8961 186
8169 5186 881
4562 7516 435
5512 9849 242
8140 5073 730
4706 860 456
5892 322 667
5994 7134 651
1507 6983 444
1293 9582 746
4051 2979 918
5936 4643 537
445 56 778
5244 2876 231
2072 500 424
9537 6428 119
5177 4600 987
8804 5071 473
4410 665 584
5874 7370 526
5040 7998 334
8967 387 154
9777 872 452
4952 8211 76
3496 5612 245
4825 1888 756
231 3242 901
1532 6156 556
9126 4839 336
7813 5475 107
7383 6429 649
9829 2620 546
5196 9797 988
5646 8799 892
7006 6885 140
8717 3133 267
1062 3485 7
1555 2611 921
3246 5107 706
7427 8704 308
2502 819 157
2971 1676 492
7290 7953 299
5143 3311 789
39 8559 944
6595 8031 870
801 6649 549
3091 580 720
809 6580 888
6407 1079 582
7282 3800 210
1938 6533 731
3022 459 747
6447 2825 33
2042 1046 712
4529 9664 727
389 2777 58
60 4916 97
1968 9135 577
8264 3779 357
4637 5952 665
4353 9317 377
4784 3987 981
5603 845 510
5431 1107 663
7866 6488 210
6414 3100 175
3350 3991 338
5208 5548 256
8590 3219 710
6594 7611 693
1537 7587 131
3157 823 474
9156 2868 565
1605 5466 466
7822 3596 983
6014 2821 472
2722 7750 0
7055 8090 855
6696 1343 616
2343 1078 528
7116 3202 154
1785 3154 971
1252 1909 840
2107 9666 646
1416 686 121
4526 489 256
3387 6792 280
7020 7753 791
292 8876 829
5484 3263 629
9820 227 962
1876 2449 56
938 543 934
2775 3806 192
5027 8846 236
921 6780 95
7022 3376 135
28 9035 134
4063 6541 649
348 8156 510
5997 3978 53
13 4186 702
9582 9235 953
191 1838 232
3358 740 833
4372 5592 291
3223 6752 503
6131 1040 467
8315 3517 412
5969 3911 400
2101 362 227
3325 5522 647
617 1341 394
1206 3422 712
689 6416 75
9924 2085 508
6064 2296 377
2052 4698 718
5668 3165 173
9577 1362 21
5972 3347 798
5351 7843 175
145 1545 997
706 8397 508
1967 4047 55
8730 5127 415
9715 207 208
2905 6685 411
3224 984 916
3886 6038 524
6737 2715 435
8976 7004 643
6676 2082 51
9288 4838 733
7504 1531 508
6233 879 319
9644 205 607
5043 6919 245
7578 7720 882
4988 1049 294
1928 4126 221
5479 779 734
4677 8810 36
7291 7238 913
1657 2157 277
9127 669 614
8239 1811 756
9016 9508 615
4251 3449 892
7741 4702 357
8019 4473 849
2328 2915 657
8305 8794 852
8038 1621 408
3651 7281 47
6644 1777 264
6090 2073 538
9074 6048 660
7938 7927 825
2609 4509 330
7269 1114 94
5206 1700 562
5970 6058 637
7033 7883 370
7011 74 722
1189 8360 632
6395 6412 194
6479 1276 384
5887 8943 448
6695 6264 226
8162 1292 810
948 3493 896
8263 121 947
6178 6847 437
7703 550 24
3586 5658 854
1703 4486 522
4531 2183 354
457 9681 658
5598 3345 297
482 9749 648
7391 7812 506
4949 4801 650
5832 6745 311
488 505 896
3048 7880 482
9761 7113 745
8424 2011 803
2359 8639 931
6384 6613 570
5347 5609 123
5305 4560 139
4413 7910 945
295 316 353
1653 8522 827
3670 969 600
6921 2813 514
8837 3071 922
8893 4954 159
283 9140 583
4148 3287 670
9663 5917 760
3530 3078 584
1462 6451 895
3873 5745 522
7073 9671 964
9181 9213 581
7466 7500 946
5740 7961 628
7569 9189 403
1917 9636 884
3474 7409 658
4868 2800 897
6705 3573 606
7196 8004 974
7971 8957 107
1912 9135 359
5384 8733 360
1348 6512 884
7207 6092 935
7668 213 472
280 7940 821
1971 3080 13
7135 9601 672
4932 801 45
1708 1335 448
7319 5826 523
3428 7227 632
3811 7134 935
7065 3534 709
9418 1593 825
6240 5038 351
2824 9521 562
5490 239 635
2606 8880 82
2792 4518 884
3851 6677 382
8935 8652 619
2035 9289 118
8136 6827 23
8845 352 456
5320 523 839
4921 4409 859
5725 6216 749
9276 4144 33
9869 9213 755
6100 5376 845
1469 8441 902
9617 1670 323
962 7353 480
7364 7523 593
840 1954 90
5829 3478 102
5553 4276 862
4455 8606 459
8337 2030 852
9959 9719 386
8482 8865 490
2543 5412 358
521 3399 833
5577 1149 11
9835 7712 333
8274 5673 433
9670 3538 328
3863 2580 576
6154 6549 800
8546 6722 987
5099 6883 647
8531 2094 224
7635 9728 382
1118 8344 961
6357 6490 539
8391 6872 313
8181 7786 293
1778 9390 230
2184 8630 587
4510 6589 282
2431 2792 868
2144 4019 619
8572 4285 748
2763 2056 72
7769 9036 271
566 4322 703
6877 103 650
6941 932 792
1654 5247 384
6784 8439 926
5955 8610 520
7565 4899 345
5239 576 254
4613 3886 202
1063 4113 910
4287 5394 739
6468 5543 401
6692 2064 589
3024 3904 857
3147 1028 235
6650 6127 982
978 825 171
4307 501 707
901 7477 301
883 4307 71
4489 7085 703
6420 8124 564
8674 670 49
4107 5126 515
6601 5534 828
8460 9498 745
4343 1499 362
973 4798 386
1000 5912 360
8934 961 755
8195 8559 789
6575 1258 679
1816 8408 948
9369 8505 102
3621 3656 783
7985 7635 889
8065 4929 893
3325 7713 262
7849 6972 983
8521 204 444
3529 6849 638
1302 5531 513
2517 2851 761
6252 3101 974
2998 9811 179
5289 6537 555
8228 7604 500
1677 1428 745
3591 6321 201
2038 3673 976
4470 1095 418
1084 544 887
5937 6302 540
8471 8957 609
2437 853 37
7118 8291 838
4889 2371 706
4910 9314 543
220 9025 74
3243 1388 879
9797 299 838
7124 6365 266
4106 2019 367
7944 8168 686
7251 2252 552
6567 4798 697
8750 3068 951
9255 4155 526
3095 4934 423
5983 5759 984
9281 1195 265
4613 8619 907
9929 6526 874
8637 9025 912
6261 8742 316
6828 4371 270
9439 5423 366
9354 5082 638
6203 6678 453
7037 250 176
9689 5537 995
5199 7066 701
9818 6118 229
4247 4467 113
3672 7995 317
3809 8335 868
7930 3872 844
9203 8111 258
7502 6745 654
7225 1464 121
559 7905 766
882 9986 925
8777 4997 967
8458 2205 395
3543 4335 58
617 5009 250
8103 8278 413
9895 3841 217
5677 990 913
1607 4689 630
2204 8474 182
7697 5859 498
6805 2359 140
2317 4083 208
7102 5659 754
1171 9751 8
7484 7368 366
3282 3009 191
6529 1229 13
9684 1780 885
851 2172 707
1436 9131 495
7360 9251 133
9747 5517 133
1650 8550 782
2957 6425 212
7529 5156 783
4720 7361 838
1972 1442 822
1132 6392 71
2749 8810 527
1069 6967 847
332 5013 645
7757 4868 816
6184 0 284
8325 7033 846
2943 3744 439
7711 5671 58
9121 822 613
695 5440 244
3886 8781 753
7508 5706 477
2748 7705 621
1194 268 301
9047 8683 657
5860 5900 898
2211 3853 485
9975 6276 274
4919 3105 987
8469 2148 414
6785 7435 636
3396 5220 755
1765 2792 266
5188 8462 166
974 8299 818
1568 5224 565
8805 1271 54
9982 5288 409
1389 4738 497
4460 743 40
6036 7196 577
1866 6729 841
2805 2489 794
3222 1177 635
6180 3782 289
1744 8839 969
3347 3165 328
7358 1538 134
2225 1189 904
4944 5199 358
2744 6736 269
7134 961 961
4634 2395 210
2266 6090 576
5052 367 189
7502 2432 373
4059 7218 642
8212 6045 74
9125 4282 354
642 9168 68
9064 5268 850
2740 9084 913
1880 1602 933
2434 9995 929
67 7068 456
3266 891 143
7233 5497 499
4058 3737 936
6066 2201 556
3092 6000 333
6599 3009 289
5679 249 480
9302 4985 416
4273 950 22
9886 6153 169
2639 1577 232
8146 5709 608
1532 9485 655
3634 8261 518
5994 5676 260
829 8262 954
5415 963 138
6537 2475 665
7605 1794 644
1060 8515 407
1234 5245 361
3508 3213 63
9783 1916 640
5868 4288 504
2947 4752 536
1209 1093 114
6560 567 226
8780 1207 251
8135 7294 719
8054 4084 760
1013 7447 662
495 9369 928
7598 3237 186
9916 7373 991
2256 9564 411
3487 6500 379
1721 2248 475
59 5347 225
6996 5376 503
4176 494 815
4998 7021 660
376 1282 709
7229 923 368
9858 3289 640
1735 682 65
99 2133 116
6375 7518 473
7928 3695 790
283 3533 77
1745 3737 623
16 9688 563
3855 6100 36
7594 8812 634
1145 5488 92
6844 4034 833
5572 9802 566
5811 5897 412
4194 5057 837
7960 5392 571
7475 2819 603
6391 7723 936
7331 4815 206
6935 3080 461
4367 1747 939
2897 3649 896
2820 2056 23
8219 2459 14
5001 7722 413
4639 2255 835
8269 9790 611
8322 907 817
8604 4239 529
3216 3869 898
9822 2820 664
412 7254 289
2197 3883 361
1363 1416 688
8359 5776 171
595 8186 245
7689 8792 681
6383 1877 919
179 9574 23
9824 6438 112
4144 7171 227
8299 7223 558
5433 8408 763
7395 3980 674
8273 9823 475
8247 7832 686
9102 1386 598
5697 2201 727
8627 884 149
8067 5657 568
2752 4040 592
738 428 383
6368 2957 747
6601 7280 732
5163 4168 293
2190 6113 273
3220 7131 865
408 4430 653
9660 6791 369
8412 6001 635
9462 8930 346
3179 5492 444
2062 6500 486
9164 8016 443
1074 2954 41
1219 2261 68
9999 5751 212
190 170 86
4996 2692 409
627 4385 739
2980 9171 977
2358 4685 382
7640 8973 959
2060 3649 590
3501 6810 880
5569 1795 162
5233 708 77
3230 7142 650
2711 1848 334
2100 1130 788
1875 5133 264
7214 4371 437
9745 8765 920
4009 640 472
2132 72 61
8829 8154 970
1734 2616 449
6190 9469 733
9303 4293 923
47 5842 649
1137 5322 946
4638 8749 887
7591 1708 826
7891 9589 106
3859 4464 704
8193 574 153
6804 8121 3
6658 5848 702
5003 9896 839
8011 8457 679
4415 241 613
2833 4025 6
410 3287 135
8041 1985 658
3598 8750 574
1785 292 220
9925 6961 427
5085 5265 761
8627 1591 834
3899 7230 561
3008 645 142
2859 324 549
8109 9225 485
752 4976 579
1613 9637 746
1736 1032 486
5918 3590 65
8365 68 811
191 8530 89
6548 4291 895
5619 23 989
7524 2353 314
2997 9590 21
9973 9811 796
3090 7821 223
1314 5612 655
1710 209 690
1991 9070 251
6939 9194 143
8531 1217 447
6357 6756 34
5890 5026 219
4912 5939 679
570 350 374
7102 4258 700
8963 9362 337
6106 5215 526
2795 4250 457
2172 7178 768
3896 1439 153
335 6784 259
5381 4141 571
8735 6511 129
1892 155 639
1014 643 884
5165 7784 141
2051 7844 52
2870 2364 215
9578 1957 378
2142 8997 524
9662 9261 952
2808 7498 414
4625 6962 953
3705 2293 340
5847 7082 324
3034 682 302
1063 8830 327
2573 4509 312
6661 1650 224
6072 6805 817
4195 6780 19
3972 96 982
9445 8131 105
806 3748 769
6108 1896 851
6787 8905 227
7232 4036 638
1451 2069 493
8504 5050 239
4821 1402 79
9267 3200 390
4943 4813 942
451 1188 659
4472 6971 986
3259 5293 163
7310 7293 86
7851 8818 395
1986 3387 391
4026 6532 707
7639 8131 557
1324 9944 688
6197 1811 383
318 2425 695
9440 6072 6
9808 5961 823
8895 7024 494
7342 9828 213
9785 1699 418
5363 5055 966
5321 2014 415
5933 9484 997
6561 3768 191
6137 8027 147
536 7508 510
8791 1277 938
8166 790 830
1318 9931 811
9596 7060 966
4148 2306 7
9246 2929 625
3651 869 817
7329 4886 79
2171 7626 269
7383 9061 340
5803 5901 907
3039 2645 484
